epoch;loss;val_loss
0;0.07412108128279801;0.014084249156434504
1;0.018348146417498944;0.025850727758404937
2;0.005836731723124068;0.003460913397687284
3;0.0020262793706893358;0.0021688561017499104
4;0.014887715715807085;16.222796540735025
5;7.6091937598389014;10.765430711176561
6;8.566443171261884;11.376583637844046
7;25.58370747781646;30.68268834322381
8;36.952159365471665;36.84965537242691
9;54.62928640542411;57.582005102602544
10;39.05620246792988;16.73086589796228
11;11.865325218851872;10.307081467683744
